mtry,date,alt,PC,OOB,X35,X70,X140,X280,X560,Accuracy_test,AccuracyPValue_test,Kappa_test
2,03/02/2022,30m,4,0.547619048,0.6,1,0.5,0.5,0.25,0.388888889,0.391489654,0.255639098
2,03/02/2022,30m,4,0.69047619,0.857142857,0.7,1,0.857142857,0.2,0.277777778,0.588592566,0.133333333
2,03/02/2022,30m,4,0.666666667,0.666666667,0.75,0.545454545,0.875,0.555555556,0.277777778,0.768927616,0.11026616
2,05/04/2022,50m,4,0.214285714,0,0.125,0,0.666666667,0.444444444,0.666666667,0.003919279,0.568
2,05/04/2022,50m,4,0.357142857,0,0.111111111,0.222222222,0.666666667,0.75,0.777777778,1.51E-05,0.71875
2,05/04/2022,50m,4,0.30952381,0,0.125,0.111111111,0.6,0.833333333,0.777777778,0.000144899,0.729323308
2,05/04/2022,50m,4,0.380952381,0,0.142857143,0.111111111,0.8,0.666666667,0.833333333,1.50E-06,0.786561265
2,05/04/2022,50m,4,0.214285714,0,0.111111111,0.111111111,0.571428571,0.375,0.666666667,0.000669739,0.581395349
2,05/04/2022,50m,4,0.261904762,0,0,0,0.666666667,0.625,0.666666667,0.000669739,0.581395349
4,26/05/2022,15-30-50m,0,0.753968254,0.454545455,0.76,0.724137931,0.925925926,0.869565217,0.222222222,0.778120852,0.043441586
4,26/05/2022,15-30-50m,0,0.736,0.44,0.653846154,0.958333333,0.851851852,0.782608696,0.254545455,0.426288206,0.075440754
4,26/05/2022,15-30-50m,0,0.706349206,0.481481481,0.857142857,0.703703704,0.916666667,0.62962963,0.240740741,0.773196885,0.042801556
4,26/05/2022,15-30-50m,0,0.816,0.636363636,0.92,0.678571429,0.923076923,0.916666667,0.309090909,0.216527742,0.149022801
4,26/05/2022,15-30-50m,0,0.784,0.68,0.807692308,0.653846154,0.884615385,0.909090909,0.254545455,0.551494506,0.071634417
4,26/05/2022,15-30-50m,0,0.776,0.64,0.863636364,0.740740741,0.75,0.913043478,0.327272727,0.139949222,0.171416938
4,26/05/2022,15-30-50m,0,0.777777778,0.576923077,0.884615385,0.666666667,0.956521739,0.814814815,0.203703704,0.7838272,0.005993151
4,26/05/2022,15-30-50m,0,0.728,0.652173913,0.8,0.653846154,0.730769231,0.8,0.2,0.783087759,0.010224949
