"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"206",0.05,0.444647352647353,0.305037990484563,0.133234120093453,0.164098950227528,"2022-02-14","15-30m",3
"207",0.05,0.685718253968254,0.606436879259123,0.150716612969906,0.185851471319477,"2022-02-14","15m",0
"208",0.05,0.560261904761905,0.449853836278959,0.163021867262926,0.201892596950275,"2022-02-14","15m",3
"209",0.05,0.494892857142857,0.369297514264492,0.168367625361822,0.204576251032903,"2022-02-14","30m",0
"210",0.05,0.404785714285714,0.254605199743951,0.156338033676146,0.191919119958163,"2022-02-14","30m",3
"211",0.05,0.373438727938728,0.218106175023459,0.134724330285935,0.166301867870532,"2022-02-03","15-30m",0
"212",0.05,0.355266233766234,0.193260094286902,0.110766358943058,0.139687736695265,"2022-02-03","15-30m",3
"213",0.05,0.481714285714286,0.347901475781878,0.154197763533724,0.186714940711273,"2022-02-03","30m",0
"214",0.05,0.348416666666667,0.189583755884295,0.175570181889291,0.210144130418591,"2022-02-03","30m",4
"215",0.05,0.543666666666667,0.427321238093722,0.161211652675123,0.198998731264659,"2022-02-03","15m",0
"216",0.05,0.530289682539683,0.413428989718068,0.182518603175685,0.22370329091725,"2022-02-03","15m",3
"217",0.05,0.463369047619048,0.330458880858009,0.164768780336122,0.201359808581726,"2022-05-03","50m",0
"218",0.05,0.263714285714286,0.0833823090536652,0.141593788474337,0.175247902299834,"2022-05-03","50m",3
"219",0.05,0.313685980685981,0.145154576296165,0.128978071426137,0.161099699757271,"2022-01-19","15-30m",0
"220",0.05,0.327140859140859,0.156262051502638,0.132667766834499,0.165508218916954,"2022-01-19","15-30m",4
"221",0.05,0.379833333333333,0.224630046895166,0.17088389333145,0.207225092784426,"2022-01-19","30m",0
"222",0.05,0.375904761904762,0.217999561276386,0.154722598331079,0.191780095253718,"2022-01-19","30m",4
"223",0.05,0.316202380952381,0.1414206985256,0.140247824646104,0.169683126521668,"2022-01-19","15m",0
"224",0.05,0.44231746031746,0.302499594357074,0.195149105510597,0.241700379123716,"2022-01-19","15m",4
"225",0.05,0.686894105894106,0.607369963426169,0.10608017108217,0.132662706262492,"2022-03-09","15-30m",0
"226",0.05,0.667698301698302,0.582911378610539,0.110047239272865,0.137089490045373,"2022-03-09","15-30m",3
"227",0.05,0.703265873015873,0.624806597167526,0.179478942568449,0.226818142831298,"2022-03-09","15m",0
"228",0.05,0.717226190476191,0.643461336311347,0.139181556723304,0.172663923589783,"2022-03-09","15m",2
"229",0.05,0.749321428571429,0.682656404673669,0.160607250178401,0.202610440859118,"2022-03-09","30m",0
"230",0.05,0.769186507936508,0.708431438931084,0.164208117931374,0.206588387953359,"2022-03-09","30m",2
"231",0.05,0.279178571428571,0.108486518412259,0.121395025853331,0.143689307255962,"2022-06-02","50m",0
"232",0.05,0.161869047619048,-0.0373024208735067,0.135678570420948,0.168054137122176,"2022-06-02","50m",2
"233",0.05,0.776380952380952,0.718806937594879,0.176159413171154,0.219615775937176,"2022-03-22","50m",0
"234",0.05,0.847071428571429,0.806875720752542,0.124543211022009,0.156623858679397,"2022-03-22","50m",2
"235",0.05,0.666357142857143,0.585331586619676,0.138744474497548,0.167381636808722,"2022-04-19","50m",0
"236",0.05,0.517218253968254,0.396890311899511,0.16730029594836,0.210728608020718,"2022-04-19","50m",3
"237",0.05,0.722119047619048,0.648972808009013,0.119374272868303,0.146464771246562,"2022-04-05","50m",0
"238",0.05,0.687214285714286,0.606761931311771,0.150696750592946,0.186276689340034,"2022-04-05","50m",4
"239",0.05,0.226865626074991,0.0360672731916655,0.0965123220466497,0.117947741857289,"2022-05-26","15-30-50m",0
"240",0.05,0.291692853457172,0.116083369273518,0.0835797812536732,0.102872801678675,"2022-05-26","15-30-50m",3
"241",0.05,0.31772619047619,0.146989866948706,0.18966645579862,0.228143288094506,"2022-05-26","50m",0
"242",0.05,0.189547619047619,-0.00241898441118939,0.14075741225167,0.173973520698928,"2022-05-26","50m",3
"243",0.05,0.167011904761905,-0.0147877211482812,0.0854717658383279,0.100231571283038,"2022-05-26","15m",0
"244",0.05,0.19309126984127,0.00316466664617665,0.137273411301817,0.172534389606714,"2022-05-26","15m",3
"245",0.05,0.2285,0.05059977100405,0.14659050865613,0.176867275596168,"2022-05-26","30m",0
"246",0.05,0.271662698412698,0.111097434506821,0.113151841273561,0.131821622488249,"2022-05-26","30m",3
"247",0.05,0.531552947052947,0.413448499188039,0.1332454352005,0.162313004287557,"2022-02-14","15-30m",0
"248",0.05,0.456861138861139,0.319451151483776,0.130373974884286,0.161194630779619,"2022-02-14","15-30m",3
"249",0.05,0.682761904761905,0.599908989401838,0.140759967240882,0.173677214458627,"2022-02-14","15m",0
"250",0.05,0.545928571428571,0.428828569294667,0.174138268308872,0.214181417042362,"2022-02-14","15m",3
"251",0.05,0.492654761904762,0.364415246739822,0.182925830275005,0.225147776329979,"2022-02-14","30m",0
"252",0.05,0.409845238095238,0.26554668333162,0.138856711898353,0.167633246532935,"2022-02-14","30m",3
"253",0.05,0.348314851814852,0.184134787333988,0.11176652781815,0.138395036209405,"2022-02-03","15-30m",0
"254",0.05,0.337657342657343,0.172386346721504,0.131726393724794,0.164616190196359,"2022-02-03","15-30m",3
"255",0.05,0.481273809523809,0.347916849479821,0.165341209164963,0.204720961819426,"2022-02-03","30m",0
"256",0.05,0.32706746031746,0.15718701620482,0.157746675569283,0.192722287585424,"2022-02-03","30m",4
"257",0.05,0.558138888888889,0.445086497620619,0.160921150988298,0.198223052835251,"2022-02-03","15m",0
"258",0.05,0.534928571428571,0.414779401828292,0.154934526513292,0.191343325194129,"2022-02-03","15m",3
"259",0.05,0.464452380952381,0.332337359534334,0.189284980514865,0.230691502254422,"2022-05-03","50m",0
"260",0.05,0.273285714285714,0.0962307334637968,0.121765431702814,0.151320624252835,"2022-05-03","50m",3
