mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.633833333,0.536727717,0.169611277,0.210063795,0.666666667,0.018758432,0.559633028,0,22/03/2022,50m,10,10
0.05,0.777,0.719820639,0.140940006,0.17678162,0.583333333,0.06644764,0.469026549,3,22/03/2022,50m,10,10
0.05,0.696047619,0.616575522,0.119856425,0.146278608,0.583333333,0.06644764,0.482758621,0,19/04/2022,50m,10,10
0.05,0.446595238,0.302674927,0.178733534,0.225174109,0.333333333,0.606925322,0.213114754,3,19/04/2022,50m,10,10
0.05,0.816666667,0.768769841,0.131040899,0.165404852,0.5,0.379768823,0.414634146,0,05/04/2022,50m,10,10
0.05,0.799666667,0.747857143,0.147690412,0.185135721,0.5,0.379768823,0.409836066,4,05/04/2022,50m,10,10
0.05,0.233024267,0.040530417,0.093114509,0.116221852,0.222222222,0.710294158,0.050847458,0,26/05/2022,15-30-50m,10,10
0.05,0.247605311,0.05880253,0.074374874,0.091228006,0.277777778,0.411681527,0.136531365,3,26/05/2022,15-30-50m,10,10
0.05,0.283166667,0.095526261,0.165322781,0.189300054,0.166666667,0.946048574,0.097744361,0,26/05/2022,50m,10,10
0.05,0.184,-0.02588719,0.128988989,0.159216743,0.083333333,0.992292653,-0.081967213,3,26/05/2022,50m,10,10
0.05,0.215,-0.011045788,0.089690201,0.106682737,0.083333333,0.992292653,0,0,26/05/2022,15m,10,10
0.05,0.229166667,0.035721612,0.159357841,0.191528179,0.166666667,0.946048574,0,3,26/05/2022,15m,10,10
0.05,0.191333333,-0.01854371,0.14133165,0.175304344,0.416666667,0.368479286,0.282051282,0,26/05/2022,30m,10,10
0.05,0.283,0.091045322,0.144560559,0.176498987,0.25,0.818877354,0.107438017,3,26/05/2022,30m,10,10
0.05,0.521737374,0.401438352,0.149592896,0.184758568,0.375,0.245115903,0.227467811,0,14/02/2022,15-30m,10,10
0.05,0.50064899,0.375253249,0.156502114,0.194245333,0.5,0.025284561,0.317535545,3,14/02/2022,15-30m,10,10
0.05,0.693,0.607834159,0.174193347,0.219426318,0.583333333,0.189264302,0.516129032,0,14/02/2022,15m,10,10
0.05,0.549952381,0.429653276,0.194047798,0.241179117,0.5,0.379768823,0.419354839,3,14/02/2022,15m,10,10
0.05,0.4845,0.34692936,0.171024755,0.223987227,0.416666667,0.368479286,0.236363636,0,14/02/2022,30m,10,10
0.05,0.360404762,0.196777882,0.161402347,0.192472626,0.333333333,0.606925322,0.094339623,2,14/02/2022,30m,10,10
0.05,0.350007576,0.192510818,0.142661471,0.176497877,0.541666667,0.028441128,0.404063205,0,03/02/2022,15-30m,10,10
0.05,0.357891414,0.194634542,0.117602758,0.147354764,0.291666667,0.73681787,0.142857143,3,03/02/2022,15-30m,10,10
0.05,0.499666667,0.368139452,0.188353072,0.238540191,0.25,0.818877354,0.068965517,0,03/02/2022,30m,10,10
0.05,0.337333333,0.171074774,0.164602027,0.201182448,0.25,0.818877354,0.052631579,4,03/02/2022,30m,10,10
0.05,0.605,0.49646614,0.192209377,0.250264695,0.583333333,0.06644764,0.464285714,0,03/02/2022,15m,10,10
0.05,0.612666667,0.507350533,0.159705115,0.203020995,0.416666667,0.368479286,0.269565217,3,03/02/2022,15m,10,10
0.05,0.510785714,0.375673863,0.155532898,0.193133945,0.25,0.980712891,0.142857143,0,03/05/2022,50m,10,10
0.05,0.388119048,0.222992502,0.183731754,0.232044244,0.25,0.980712891,0.107438017,3,03/05/2022,50m,10,10
0.05,0.294166667,0.117787063,0.127902077,0.1560266,0.375,0.245115903,0.225806452,0,19/01/2022,15-30m,10,10
