"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"186",0.05,0.332023809523809,0.168039388019384,0.179403185559996,0.215324410835156,"2022-02-03","15-30m",6,10,10
"187",0.05,0.688396825396825,0.607635355100041,0.154555307892226,0.190958602786767,"2022-03-09","15m",0,10,10
"188",0.05,0.738619047619048,0.669189965152759,0.156406176214784,0.198603910831368,"2022-03-09","15m",2,10,10
"189",0.05,0.72702380952381,0.657304594571564,0.181682810670596,0.2234290354626,"2022-03-09","30m",0,10,10
"190",0.05,0.772924603174603,0.71322799712158,0.161911578439958,0.2034479489609,"2022-03-09","30m",2,10,10
"191",0.05,0.831321428571429,0.786653707396934,0.151969168294716,0.190690726741642,"2022-03-09","15-30m",0,10,10
"192",0.05,0.772924603174603,0.71322799712158,0.161911578439958,0.2034479489609,"2022-03-09","15-30m",3,10,10
"193",0.05,0.326297619047619,0.167251933449457,0.097482878638323,0.110285015789232,"2022-06-02","50m",0,10,10
"194",0.05,0.170400793650794,-0.0351995579799347,0.122419591838973,0.151335123642405,"2022-06-02","50m",2,10,10
"195",0.05,0.170904761904762,-0.00126666666666667,0.0348296400697673,0.0171791902930429,"2022-05-26","15m",0,10,10
"196",0.05,0.203714285714286,0.00998525658980316,0.136797936028913,0.166709629338614,"2022-05-26","15m",3,10,10
"197",0.05,0.273011904761905,0.102891142998678,0.110297222052781,0.125357422046545,"2022-05-26","50m",0,10,10
"198",0.05,0.185603174603175,-0.00502157717892685,0.13233102570903,0.162994572075748,"2022-05-26","50m",3,10,10
"199",0.05,0.1665,-0.0140652505306284,0.0616774928700265,0.0721770894712534,"2022-05-26","30m",0,10,10
"200",0.05,0.260107142857143,0.0947447307310638,0.120588215188759,0.142144438964888,"2022-05-26","30m",3,10,10
"201",0.05,0.223888888888889,0.0343463286225094,0.142181811903993,0.175309711382559,"2022-05-26","15-30-50m",0,10,10
"202",0.05,0.260107142857143,0.0947447307310638,0.120588215188759,0.142144438964888,"2022-05-26","15-30-50m",5,10,10
"203",0.05,0.764821428571429,0.704871723982059,0.172142188115127,0.213962115102092,"2022-03-22","50m",0,10,10
"204",0.05,0.854107142857143,0.815479054266932,0.135156335903259,0.170199450483455,"2022-03-22","50m",2,10,10
"205",0.05,0.656583333333333,0.572718589991454,0.12724939093489,0.153997617164531,"2022-04-19","50m",0,10,10
"206",0.05,0.506619047619048,0.384466601761604,0.171904345525725,0.216002413845437,"2022-04-19","50m",3,10,10
"207",0.05,0.73915873015873,0.672119581848461,0.106683002969231,0.128414228934422,"2022-04-05","50m",0,10,10
"208",0.05,0.706210317460317,0.627700867040197,0.153196724016848,0.192216526051685,"2022-04-05","50m",4,10,10
"209",0.05,0.467952380952381,0.336323320904621,0.142218457645755,0.166362526851186,"2022-05-03","50m",0,10,10
"210",0.05,0.31027380952381,0.135833156130757,0.145320832831193,0.182885169465168,"2022-05-03","50m",3,10,10
"211",0.05,0.675321428571429,0.592524952261706,0.162695936260321,0.201782868751825,"2022-02-14","15m",0,10,10
"212",0.05,0.560892857142857,0.448687287398943,0.168636691966256,0.207571622165231,"2022-02-14","15m",3,10,10
"213",0.05,0.505928571428571,0.387537217690715,0.147365332636173,0.180740782429521,"2022-02-14","30m",0,10,10
"214",0.05,0.398964285714286,0.246877423448957,0.151670634208025,0.189356798927822,"2022-02-14","30m",3,10,10
"215",0.05,0.521440476190476,0.40063337394865,0.142507337379003,0.175654040506284,"2022-02-14","15-30m",0,10,10
"216",0.05,0.398964285714286,0.246877423448957,0.151670634208025,0.189356798927822,"2022-02-14","15-30m",4,10,10
"217",0.05,0.336865079365079,0.177475554812617,0.119492734482017,0.136429083862964,"2022-01-19","30m",0,10,10
"218",0.05,0.380642857142857,0.224287091283924,0.161678747898913,0.198892447678444,"2022-01-19","30m",4,10,10
"219",0.05,0.324468253968254,0.158274398309266,0.12374925843609,0.145119131656219,"2022-01-19","15m",0,10,10
"220",0.05,0.434257936507936,0.290014688609211,0.206347719057984,0.257303312008679,"2022-01-19","15m",4,10,10
"221",0.05,0.329956349206349,0.164762606473115,0.172300066997701,0.211912083913503,"2022-01-19","15-30m",0,10,10
"222",0.05,0.434257936507936,0.290014688609211,0.206347719057984,0.257303312008679,"2022-01-19","15-30m",6,10,10
"223",0.05,0.518488095238095,0.40083076043884,0.168334816043102,0.203491260277677,"2022-02-03","15m",0,10,10
"224",0.05,0.521130952380952,0.39839904358415,0.162876084226153,0.201985754840174,"2022-02-03","15m",3,10,10
"225",0.05,0.449333333333333,0.315178517797309,0.152588554319967,0.182887800257484,"2022-02-03","30m",0,10,10
"226",0.05,0.351690476190476,0.18989777378415,0.167182701091061,0.207126960909622,"2022-02-03","30m",4,10,10
"227",0.05,0.421892857142857,0.274761222085267,0.17397416337682,0.216073472467839,"2022-02-03","15-30m",0,10,10
"228",0.05,0.351690476190476,0.18989777378415,0.167182701091061,0.207126960909622,"2022-02-03","15-30m",6,10,10
"229",0.05,0.72375,0.652413612240932,0.169563768979059,0.214096802809112,"2022-03-09","15m",0,10,10
"230",0.05,0.724940476190476,0.653187492825471,0.16967163034555,0.210210178981445,"2022-03-09","15m",2,10,10
